Year,Movie,Directed By,Score (%),Poster,Decade,score_range
1959,Ben-Hur,William Wyler,86,https://resizing.flixster.com/T_BnVuWrcvcGcJ5syTbsHSFX-pI=/180x270/v1.bTsxMTE2ODE1OTtqOzE4NzczOzIwNDg7ODAwOzEyMDA,1950,81 to 100
1979,Kramer vs. Kramer,Robert Benton,88,https://resizing.flixster.com/j7mWg6I1wxFOQbYCWzYuER2xUpc=/180x240/v1.bTsxMTI5MDM1NztqOzE4Nzk3OzIwNDg7MTMyMDsxNzYw,1970,81 to 100
1965,The Sound of Music,Robert Wise,83,https://resizing.flixster.com/iiC0RBvF5KDR6COE3jFisrujFS4=/180x240/v1.bTsxMTYxNDA5MjtqOzE4ODA2OzIwNDg7MTU5NjsyMTI4,1960,81 to 100
2018,Green Book,Peter Farrelly,78,https://resizing.flixster.com/P4i-itWxll-ifGutlKl5vBDgBs0=/171x270/v1.bTsxMjgyMzMzODtqOzE4NzM2OzIwNDg7MzE1ODs1MDAw,2010,61 to 80
1932,Grand Hotel,Edmund Goulding,86,https://resizing.flixster.com/X6C5XzceJd7-0UW3wlEm97G-0Kc=/180x270/v1.bTsxMTE2ODEwMztqOzE4NzYyOzIwNDg7ODAwOzEyMDA,1930,81 to 100
2002,Chicago,Rob Marshall,86,https://resizing.flixster.com/o0thV4kBFUWhWhhEBRGeVsr6d9M=/180x270/v1.bTsxMTE3MzAzMjtqOzE4Nzg2OzIwNDg7ODAwOzEyMDA,2000,81 to 100
1980,Ordinary People,Robert Redford,89,https://resizing.flixster.com/OAcg0AdAZr0FYazx4Sn71KYOSF8=/180x240/v1.bTsxMTYxNDc3NjtqOzE4NzcwOzIwNDg7NzY4OzEwMjQ,1980,81 to 100
1986,Platoon,Oliver Stone,88,https://resizing.flixster.com/nsLbKUsekI-uaRW897WfIDWJ_r8=/180x237/v1.bTsxMTI5MjMxNDtqOzE4Nzc0OzIwNDg7MTMwODsxNzI1,1980,81 to 100
1987,The Last Emperor,Bernardo Bertolucci,89,https://resizing.flixster.com/8nJ85P8SVOE_FcLkuqaeynxE2W8=/179x270/v1.bTsxMTYxNDI4ODtqOzE4Nzc3OzIwNDg7NTAwOzc1NQ,1980,81 to 100
1988,Rain Man,Barry Levinson,89,https://resizing.flixster.com/pv79xmIprDyWlP3yO5nSj6Hf7KA=/180x240/v1.bTsxMTQ1Mzg2MjtqOzE4Nzc0OzIwNDg7MTI5MDsxNzIw,1980,81 to 100
